object_id,chi_sq_g,chi_sq_all,objectId,RA,DEC,RA,DEC,SDSS_NAME,Z_SYS,LOGLBOL,LOGLBOL_ERR,LOGL3000,LOGL3000_ERR,M_I,SN_MEDIAN_ALL,Z,LOGLBOL_CALC,LOGLBOL_ERR_CALC,LOGLBOL_bin
1411647,26.270047538716742,106.86638690102797,1411647,25.8383174643875,1.2367606182344486,25.8383174643875,1.2367606182344486,014321.19+011412.3,0.32627662201316804,43.47060958132629,0.0253883590373398,42.7588023522851,0.0253883590373398,-21.79129554230442,6.320108413696289,0.32627662201316804,43.47060958132629,0.0253883590373398,"(43.134, 43.666]"
1444871,164.13206521837603,77.90754739198286,1444871,359.91935722162907,1.002440428893257,359.91935722162907,1.002440428893257,235940.64+010008.7,0.22081915105999372,43.600119125341514,0.0320677743310433,42.88831189630032,0.0320677743310433,-20.602384163229466,4.405038833618164,0.22081915105999372,43.600119125341514,0.0320677743310433,"(43.134, 43.666]"
1447333,40.0942828180853,87.54720177943511,1447333,355.5839195121637,0.2615933024817956,355.5839195121637,0.2615933024817956,234220.14+001541.7,0.269943046426148,43.5551216653191,0.0392072042687416,42.84331443627791,0.0392072042687416,-20.79191662326887,3.516798257827759,0.269943046426148,43.5551216653191,0.0392072042687416,"(43.134, 43.666]"
1411138,16.455777029197694,766.4027895789144,1411138,26.202462737961397,0.8594131314902433,26.202462737961397,0.8594131314902433,014448.59+005133.8,0.4152730338987721,43.660892274054184,0.0339646672341125,42.94908504501299,0.0339646672341125,-21.685473920897454,3.322904348373413,0.4152730338987721,43.660892274054184,0.0339646672341125,"(43.134, 43.666]"
1417358,11.260180040360588,73.92951645709778,1417358,21.817377974013997,-0.5993524145229753,21.817377974013997,-0.5993524145229753,012716.17-003557.6,0.37122325464532835,43.60510493003249,0.0348560972288325,42.8932977009913,0.0348560972288325,-22.3907469441465,7.755934238433838,0.37122325464532835,43.60510493003249,0.0348560972288325,"(43.134, 43.666]"
1417406,11.72466486079428,25.628948014864267,1417406,21.787133722814147,0.900521483313719,21.787133722814147,0.900521483313719,012708.91+005401.8,0.37738210670090716,43.63329102579197,0.0201179723551412,42.92148379675078,0.0201179723551412,-21.156600736619176,3.517073154449463,0.37738210670090716,43.63329102579197,0.0201179723551412,"(43.134, 43.666]"
1424781,10.609826453241467,53.49956445105485,1424781,16.074214643030416,-0.8880558340603685,16.074214643030416,-0.8880558340603685,010417.81-005317.0,0.29847870447750974,43.326061139249035,0.026652434011563,42.61425391020784,0.026652434011563,-21.74153146493668,8.943631172180176,0.29847870447750974,43.326061139249035,0.026652434011563,"(43.134, 43.666]"
1465964,34.56034624337184,83.33204192431462,1465964,320.5431323635281,-0.6262901551807354,320.5431323635281,-0.6262901551807354,212210.35-003734.6,0.33859137952518625,43.54523231785864,0.0311018281337993,42.83342508881745,0.0311018281337993,-21.666742267857536,4.929839611053467,0.33859137952518625,43.54523231785864,0.0311018281337993,"(43.134, 43.666]"
1450477,13.391099129679404,46.17599415077963,1450477,349.7348329309849,0.3745666872015707,349.7348329309849,0.3745666872015707,231856.35+002228.4,0.26105920723449083,43.4522605257607,0.0346543719140903,42.74045329671951,0.0346543719140903,-21.10139696758953,5.423565864562988,0.26105920723449083,43.4522605257607,0.0346543719140903,"(43.134, 43.666]"
1409409,10.603886319826431,111.27416419880144,1409409,27.49798665293812,0.1113371810451653,27.49798665293812,0.1113371810451653,014959.51+000640.8,0.3469776762489932,43.19559999781021,0.0929128355492814,42.48379276876902,0.0929128355492814,-21.618975864889457,5.097415447235107,0.3469776762489932,43.19559999781021,0.0929128355492814,"(43.134, 43.666]"
1410880,85.16121371035578,239.4903864835773,1410880,26.400048550282065,-0.1030942161523138,26.400048550282065,-0.1030942161523138,014536.01-000611.1,0.19182212209201624,43.49052201710563,0.0584731904747464,42.77871478806444,0.0584731904747464,-20.767115622885555,14.271099090576172,0.19182212209201624,43.49052201710563,0.0584731904747464,"(43.134, 43.666]"
1445329,17.198416673568403,239.56369312326527,1445329,359.2030652644879,-0.1261757417099598,359.2030652644879,-0.1261757417099598,235648.73-000734.2,0.28219813517111136,43.63515739515594,0.0328398392697764,42.92335016611475,0.0328398392697764,-21.395164840084522,4.851256847381592,0.28219813517111136,43.63515739515594,0.0328398392697764,"(43.134, 43.666]"
1425555,12.87550713364317,110.19209890338288,1425555,15.48484374986075,0.1564449717476804,15.48484374986075,0.1564449717476804,010156.36+000923.2,0.2774403450024353,43.272618167643955,0.0595025303673217,42.56081093860276,0.0595025303673217,-21.041625773401844,7.177546977996826,0.2774403450024353,43.272618167643955,0.0595025303673217,"(43.134, 43.666]"
1419845,80.41334586887874,227.0983166082713,1419845,19.925536290675684,-0.3172031615066236,19.925536290675684,-0.3172031615066236,011942.12-001901.9,0.25637797067284607,43.506005488723154,0.0208173779246401,42.79419825968196,0.0208173779246401,-21.052374617298362,8.648433685302734,0.25637797067284607,43.506005488723154,0.0208173779246401,"(43.134, 43.666]"
1417782,123.34778479521736,130.39781591642588,1417782,21.489319310416136,-0.0817932783534734,21.489319310416136,-0.0817932783534734,012557.43-000454.4,0.3986391305692119,43.62035284009636,0.0416037249380174,42.90854561105517,0.0416037249380174,-21.594828173217277,3.195349931716919,0.3986391305692119,43.62035284009636,0.0416037249380174,"(43.134, 43.666]"
1456049,39.109651154903176,204.1040141863592,1456049,339.0217899306167,-0.6891113119789043,339.0217899306167,-0.6891113119789043,223605.22-004120.8,0.19109617903722043,43.60091589580749,0.0982361939882423,42.8891086667663,0.0982361939882423,-20.95181047492165,12.346567153930664,0.19109617903722043,43.60091589580749,0.0982361939882423,"(43.134, 43.666]"
1459338,24.67849971188241,37.65000599921709,1459338,332.83491941757745,1.15157627413146,332.83491941757745,1.15157627413146,221120.38+010905.6,0.3412113685234547,43.28050053494919,0.0696984398355411,42.568693305908,0.0696984398355411,-21.286997644020843,3.48828125,0.3412113685234547,43.28050053494919,0.0696984398355411,"(43.134, 43.666]"
