object_id,chi_sq_g,chi_sq_all
1446436,54.27678692702774,155.15353519239133
1391164,46.39318027266916,82.59285785889737
1396018,90.11747480409832,265.7574187353214
1391283,13.272701844698837,39.12214096615875
1411612,34.475877853435726,66.81161449314963
1433946,133.3910502897654,505.1607757265724
1390639,72.9091169399541,152.8172541399088
1440817,44.47850090556782,110.89217163590712
1415162,217.9150495457633,579.4415325126156
1412877,532.476466998451,1215.376876719276
1414251,1530.8755833966527,6487.509154561527
1447758,31.319030143709952,77.02821925870936
1445399,14.845657510802454,31.64728896611432
1432144,199.91942564560452,571.7179376199484
1402045,88.34489010225371,432.9912803122931
1433585,27.027460364956443,65.29801108699654
1438752,74.3223790344315,216.43157726766023
1447254,19.674830054604293,65.24771899977972
1394504,20.98089736802235,47.04982688151371
1435778,135.31518185658223,687.9143211667267
1419088,28.81894884157056,37.551912568396325
1388778,224.1766500517292,907.555788753027
1447710,57.38652253403156,138.72656902568156
1422964,12.929915056371728,22.15489426144636
1430112,194.00667792475204,334.29235722161826
1440152,192.2044017309268,380.346512011433
1407883,99.67819053853324,251.19111938644792
1452422,137.50400938298003,106.72437267138535
1435844,49.51530747430037,335.14609337831246
1391680,10.87526090595486,40.85910081486632
1429814,130.4114660754722,373.6632876671711
1445628,26.305465520220263,53.521898558432206
1418292,16.24207934096818,30.33866414290009
1429983,161.40405683201115,339.3993439535024
1446644,73.5231539001928,194.3827756465413
1451159,94.1274456729443,179.0373279282318
1418687,3197.279163505518,10597.568574756317
1417177,273.673260684883,495.3922105524117
1463797,47.36326150660258,116.80650377324122
1394936,176.41994032225728,683.7873885362333
1452561,71.90436467258682,210.97376589253628
1399974,683.2620024381745,1171.9915314792536
1465304,15.974995788374702,50.16132058728942
1393299,37.439950243566,144.84621674371277
1461129,138.43967899319566,440.6779529828572
1444529,14.441117272486132,50.39271907084525
1438723,158.97553323965457,423.5008532981608
1388468,175.52376416779265,885.9597226165183
1445970,23.481211170846592,99.59670311661328
1456270,292.1967678476105,814.6208919464599
1396842,33.51838804309837,101.28378561516227
1415333,66.74105058197055,128.65036535125782
1416674,22.69027608194366,54.9493185542236
1447403,138.7547862985699,446.51841541484544
1465550,76.2440023878155,186.4265205112856
1464446,314.3279201785471,766.0866308497365
1449703,242.50166111057388,435.2024346063336
1440180,48.847393515403,133.25723888606777
1448013,60.38477382702958,209.99286820874804
1452563,16.08931581261096,150.2227767462985
1447437,628.5456770344255,1477.989014639919
1449619,45.27208254026694,181.74244525929305
1450262,534.4736244821952,1307.5716086760751
1463670,11.465934769053122,22.28046208371785
1452166,225.23181516465405,581.3540810891482
1458803,29.96841310026609,77.18527294950466
1414687,92.69643089500876,239.0333760765473
1446896,186.41666344258147,563.3499425304647
1399167,81.83141003747839,597.4264246088907
1461193,99.30100695103722,323.43195855580376
1440921,24.07628668305916,80.63928881155161
1410499,88.9201729535631,265.647897473968
1444765,10.06670273451935,12.482817816581372
1388412,164.06469284132484,335.8121445267986
1433931,45.48279561178587,63.32934314710029
1431160,14.326145883646214,29.371371509127847
1389070,19.636886352248872,38.90852285873022
1436556,50.687732432218766,115.06081191233328
1452446,43.57442895724888,93.2988047404894
1463740,493.2487708033973,1462.2915972181956
1445960,93.6905737862306,238.25159077886067
1395066,100.35031939635428,241.96702830378683
1451931,28.634683622303065,102.38121292396276
1445301,15.720266246291436,71.18283418245363
1414064,24.95296489067537,77.53152931532425
1445170,63.04402419223989,185.1291812730116
1438221,14.554945593124542,97.64899413362994
1429491,102.98724920454364,161.39106307643524
1402221,68.61565957620513,189.47192570316992
1407902,16.17504684164426,40.78277869012204
1418010,125.38975790022872,363.1368159257034
1435426,28.463980945861504,110.81819722944115
1464476,265.6377332080027,583.8098377775532
1431802,15.077754188736645,33.530263239716064
1453238,98.7234448972132,227.12409240028595
1465471,86.17875429330218,189.6292441658136
1391764,210.90547390056747,307.6422250697858
1446181,10.294800437668686,30.495258090136826
1439577,94.78874454675004,294.45352998756005
1435435,27.549748938660706,156.36621168472868
1393218,46.52586754751082,207.8509392191304
