object_id,sdss_name,apparent_mag_2500,apparent_mag_2500_err,f_host_4200,alpha_lambda,alpha_lambda_err,redchi,RA,DEC,SDSS_NAME,Z_SYS,LOGLBOL,LOGLBOL_ERR,LOGL3000,LOGL3000_ERR,M_I,SN_MEDIAN_ALL,apparent_mag_i,Z,LOGLBOL_CALC,LOGLBOL_ERR_CALC,idx,objectId,RA_w,DEC_w,sep_arcsec
1391814,024028.11-005605.8,22.085475811071998,0.0,-99.0,-0.984360555986016,0.0,0.3867695472006245,40.11713170352965,-0.9349582325756808,024028.11-005605.8,1.0292861149906,45.66005319140835,0.0033216795477173,44.94824596236716,0.0033216795477173,-23.833705943874797,8.211487770080566,20.380766,1.0292861149906,45.66005319140835,0.0033216795477173,132633,1391814,40.11713170352965,-0.9349582325756808,0.0
1391766,024037.61-005637.9,22.18602233918224,0.0050971552225753,-99.0,-0.55820379161693,0.0068785081044328,0.9047253409591414,40.15673904640008,-0.9438669513451008,024037.61-005637.9,1.8340039423619219,46.34827943430148,0.0045707477201659,45.63647220526029,0.0045707477201659,-25.78896341359866,8.065369606018066,20.257526,1.8340039423619219,46.34827943430148,0.0045707477201659,132689,1391766,40.15673904640008,-0.9438669513451008,0.0
1391675,024051.10-010518.8,22.296194303589907,0.0090773645365693,-99.0,-1.2852460979817129,0.0219921266601732,0.4950424165595301,40.212921542449976,-1.088575122113881,024051.10-010518.8,1.8403161710978884,46.22866550315628,0.0039783197354061,45.51685827411509,0.0039783197354061,-25.706334568384726,8.80384635925293,20.062737,1.8403161710978884,46.22866550315628,0.0039783197354061,132789,1391675,40.212921542449976,-1.088575122113881,0.0
1391583,024105.06-005132.6,22.249750777779106,0.0064836805731172,-99.0,-1.2008264610430524,0.0329554254328176,0.4890798612902974,40.27110296511566,-0.8590712417988002,024105.06-005132.6,1.7864000807772473,46.24491345496924,0.0052775309011998,45.53310622592805,0.0052775309011998,-25.845389607330546,7.921388626098633,19.926174,1.7864000807772473,46.24491345496924,0.0052775309011998,132886,1391583,40.27110296511566,-0.8590712417988002,0.0
1391454,024126.71-004526.3,20.36901872906464,0.0,0.0714615887210381,-0.9052615174507936,0.0,2.6444202498492517,40.36131582334801,-0.7573096109272287,024126.71-004526.3,0.7254648417126988,45.94546943163151,0.0028201993938203,45.23366220259032,0.0028201993938203,-25.3192004065869,22.399614334106445,18.306578,0.7254648417126988,45.94546943163151,0.0028201993938203,133022,1391454,40.36131582334801,-0.7573096109272287,0.0
1391283,024154.42-004757.6,23.476380803401447,0.0160051720946796,-99.0,-4.137991540735124,0.027619947685999,0.911764745953054,40.47678828206377,-0.7993484075098946,024154.42-004757.6,2.3938717351495025,46.89540275143922,0.0015378340207163,45.43948801684412,0.0594265843875767,-27.291027025181386,8.387513160705566,19.041187,2.3938717351495025,46.89540275143922,0.0015378340207163,133205,1391283,40.47678828206377,-0.7993484075098946,0.0
1391217,024204.58-003835.7,22.195784980208398,0.0087458024947917,-99.0,-0.9252601724083078,0.0146321200071272,0.616914485463643,40.519121071281326,-0.6432638780069628,024204.58-003835.7,2.2945101191611093,46.481989620449085,0.0030952279794682,45.924063383466056,0.0058994365790852,-26.110345867437964,11.440787315368652,20.042742,2.2945101191611093,46.481989620449085,0.0030952279794682,133274,1391217,40.519121071281326,-0.6432638780069628,0.0
1391199,024207.19-002818.9,21.298315183041236,0.00644153991459,-99.0,-1.2078991246822088,0.0136306620856683,0.6530653510994412,40.52998702169563,-0.4719176111973511,024207.19-002818.9,1.7161871493153937,46.540631214293896,0.002147784503002,45.828823985252704,0.002147784503002,-25.946341098079174,16.67329216003418,19.67363,1.7161871493153937,46.540631214293896,0.002147784503002,133293,1391199,40.52998702169563,-0.4719176111973511,0.0
1391164,024212.65-010339.5,22.80390284911285,0.0097511633327318,-99.0,-1.35957794292804,0.0291474299775597,0.3771422747212699,40.55273281159021,-1.0609932786998486,024212.65-010339.5,1.4416153932603797,45.73925093862866,0.0060042806404787,45.027443709587466,0.0060042806404787,-24.706227343909056,5.905488014221191,20.398584,1.4416153932603797,45.73925093862866,0.0060042806404787,133331,1391164,40.55273281159021,-1.0609932786998486,0.0
1391150,024214.97-003131.8,21.553791016692777,0.003599273578505,-99.0,-1.988466668546088,0.0190124039194473,0.6289431219119173,40.56238591790037,-0.5255140971024651,024214.97-003131.8,1.3360713477570842,46.07729355937537,0.0022628092592036,45.36548633033418,0.0022628092592036,-25.068148582106584,13.516258239746094,19.784101,1.3360713477570842,46.07729355937537,0.0022628092592036,133346,1391150,40.56238591790037,-0.5255140971024651,0.0
