object_id,sdss_name,apparent_mag_2500,apparent_mag_2500_err,f_host_4200,alpha_lambda,alpha_lambda_err,redchi,RA,DEC,SDSS_NAME,Z_SYS,LOGLBOL,LOGLBOL_ERR,LOGL3000,LOGL3000_ERR,M_I,SN_MEDIAN_ALL,apparent_mag_i,Z,LOGLBOL_CALC,LOGLBOL_ERR_CALC,idx,objectId,RA_w,DEC_w,sep_arcsec
1446436,234934.28+003023.7,22.52403780793444,0.0043540316988899,-99.0,-0.5126933278698074,0.008024618205279,0.8119771034699533,357.3928464606797,0.5065896846830881,234934.28+003023.7,2.1394968353289268,46.10645326150255,0.0107538254109726,45.730487193129605,0.0068589853970735,-25.85533751129288,7.791486740112305,20.36548,2.1394968353289268,46.10645326150255,0.0107538254109726,740861,1446436,357.3928464606797,0.5065896846830881,0.0
1391164,024212.65-010339.5,22.54980471641806,0.0125981011472919,-99.0,-1.3305242415507172,0.0264720092936513,0.6503945101210017,40.55273281159021,-1.0609932786998486,024212.65-010339.5,1.4416153932603797,45.73925093862866,0.0060042806404787,45.027443709587466,0.0060042806404787,-24.706227343909056,5.905488014221191,20.398584,1.4416153932603797,45.73925093862866,0.0060042806404787,133331,1391164,40.55273281159021,-1.0609932786998486,0.0
1396018,022837.06-001005.1,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,37.154421,-0.16809,022837.06-001005.1,0.7549663840116725,45.477863067471,0.0042479731646167,44.76605583842981,0.0042479731646167,-23.514067051021225,6.203354835510254,20.181065,0.7549663840116725,45.477863067471,0.0042479731646167,128058,1396018,37.154421,-0.16809,0.0
1391283,024154.42-004757.6,22.697796242001623,0.0038443774034657,-99.0,-4.138028007397995,0.0083388125638759,2.7915927471962307,40.47678828206377,-0.7993484075098946,024154.42-004757.6,2.3938717351495025,46.89540275143922,0.0015378340207163,45.43948801684412,0.0594265843875767,-27.291027025181386,8.387513160705566,19.041187,2.3938717351495025,46.89540275143922,0.0015378340207163,133205,1391283,40.47678828206377,-0.7993484075098946,0.0
1411612,014328.80-001433.7,23.510322496770733,0.0080041348887149,0.0240721256137599,-1.194031249900911,0.035659579363984,0.3016109973049187,25.870035355515604,-0.2427079439653813,014328.80-001433.7,1.1441659020999482,45.29304022211893,0.0095831932980381,44.58123299307774,0.0095831932980381,-22.474746078616644,4.324597358703613,21.856089,1.1441659020999482,45.29304022211893,0.0095831932980381,96926,1411612,25.870035355515604,-0.2427079439653813,0.0
1433946,003550.65-004301.8,21.35224427305761,0.0047994669935746,-99.0,-0.8847575063553288,0.0161114551707245,0.6267277383113427,8.961081286792993,-0.7171729326813364,003550.65-004301.8,1.6814518538330563,46.62427525069928,0.0022595889356864,45.912468021658086,0.0022595889356864,-26.323871329241523,11.48285961151123,19.249165,1.6814518538330563,46.62427525069928,0.0022595889356864,31826,1433946,8.961081286792993,-0.7171729326813364,0.0
1390639,024333.19-002652.8,22.62755142304919,0.0058519563039016,-99.0,-1.292534149044258,0.0289543563719508,0.3756312175545596,40.88832695790114,-0.4480015396961322,024333.19-002652.8,1.4153349634905767,45.7221166752646,0.0060184685474311,45.01030944622341,0.0060184685474311,-24.43211839564297,5.122865200042725,20.777529,1.4153349634905767,45.7221166752646,0.0060184685474311,133890,1390639,40.88832695790114,-0.4480015396961322,0.0
1440817,001321.04-003107.5,22.943736253302,0.0070767235217861,-99.0,-1.3160672708017875,0.021719483899757,0.6365458167802038,3.337682582254729,-0.5187573896205144,001321.04-003107.5,2.0029609750190707,45.95199275112006,0.0111903881197292,45.24018552207887,0.0111903881197292,-25.37305296651722,4.054836750030518,20.552383,2.0029609750190707,45.95199275112006,0.0111903881197292,12209,1440817,3.337682582254729,-0.5187573896205144,0.0
1415162,013332.87+002438.3,21.754927193850516,0.000370913299017,-99.0,-1.4901279078528056,0.0002669188461612,0.6365035091036234,23.386958327413083,0.4106446811999017,013332.87+002438.3,2.2787282294417808,46.72466680581637,0.0020616359336038,46.02404213521018,0.0069055793237779,-27.417327096935324,13.050286293029785,18.853437,2.2787282294417808,46.72466680581637,0.0020616359336038,86935,1415162,23.386958327413083,0.4106446811999017,0.0
1412877,014004.34+010001.9,22.00741989135356,0.0019558418258025,-99.0,-1.4215431407414258,0.0071789511960486,1.1002170478544369,25.018100582087857,1.0005363102332236,014004.34+010001.9,1.4877061465625356,46.14708335179181,0.0029152468251112,45.435276122750615,0.0029152468251112,-24.692223978332894,12.493773460388184,20.567413,1.4877061465625356,46.14708335179181,0.0029152468251112,93413,1412877,25.018100582087857,1.0005363102332236,0.0
