i,object_id,sdss_name,z,log_lbol,log_lbol_err,log_tau_rest,log_tau_rest_err,log_sigma,log_sigma_err,log_jitter,magerrs_mean
83,1440356,001453.36-002827.6,1.9210795397770264,46.88361632094429,0.0020153654372983,2.9909056803450422,0.5835100818944228,[-0.70577298 -0.79035031 -0.86249139],[0.27948131 0.28051029 0.28184125],[-3.17356332 -4.39720956 -4.13023497],[0.05616284 0.05100314 0.0425081 ]
84,1440359,001452.65+003958.5,1.4730929664061811,46.22045305845048,0.005768247166614,2.5190223211319385,0.3713502400404149,[-0.71828588 -0.80483087 -0.78422857],[0.16363308 0.16517398 0.17303584],[-3.43794648 -3.32782819 -3.18112566],[0.08531469 0.07065989 0.07278832]
85,1440363,001451.55+005655.4,1.4691654875905105,46.7024350211507,0.0009082985061077,2.970987692590985,0.3877675037720207,[-0.68634536 -0.78320892 -0.96243876],[0.1942443  0.19469603 0.19558854],[-13.11449733  -3.60959736  -3.63008723],[0.03860653 0.03579805 0.0377236 ]
86,1440368,001450.51+000732.5,0.4347761980352,44.871131092307664,0.0086946182197991,-1.6878996495163174,0.142189431613499,[-0.77569713 -0.67040494 -0.72569315],[0.06020542 0.110927   0.11223178],[-11.07633341 -14.58413783 -11.18432318],[0.17945786 0.12735932 0.11222709]
87,1440372,001449.84+010047.9,0.66673892189739,44.89408634210409,0.0103153372760331,1.9328317755318345,0.2874315731550988,[-0.25828521 -0.39698249 -0.47726962],[0.10047806 0.11290026 0.12219621],[-7.90775712 -6.44644459 -2.48808053],[0.20227455 0.18530257 0.17037535]
88,1440380,001448.50+001725.9,1.3751516259051706,45.68718133040864,0.0066418932034366,1.56912860281343,0.2239309493617237,[-0.81832108 -0.79980822 -7.31560149],[0.14013162 0.18746936 0.98694213],[-12.89382398  -8.40789672  -6.23512595],[0.19571952 0.16560207 0.12549696]
89,1440382,001448.29+010912.7,1.6968641973083602,45.39860300735536,0.0301087452785289,1.7517996009492784,0.3018218506899168,[-0.31338966 -0.06721444 -0.62756195],[0.13182942 0.18324179 0.32167695],[-5.22066843 -7.2790917  -7.83017353],[0.26343205 0.24098377 0.21062353]
90,1440383,001447.40-005309.6,1.48670422571573,45.57498521557457,0.0131393163308075,1.746975304345047,0.3152455480928515,[-1.13434038 -0.79030728 -0.86541482],[0.33314992 0.46351261 0.46569071],[-12.89780268  -8.39332304  -6.06448696],[0.22119912 0.1794722  0.14021136]
91,1440385,001446.74+002515.3,1.4153307123359724,45.95984581408401,0.0047525463100441,1.480308632267174,0.257162473630759,[-0.82833771 -0.91861786 -1.0255307 ],[0.08188458 0.09969914 0.14026301],[-13.52386638 -13.33603359 -11.22415053],[0.14860478 0.12370645 0.12015186]
92,1440388,001446.28-011108.3,2.7068053418178386,45.75036357150472,0.0240010629401403,1.5255213187548078,1.1516582590474649,[-0.53301905 -0.48921959 -2.19426529],[0.23165789 0.34572673 0.79099985],[ -9.97871596 -16.98935369  -6.87341181],[0.26610208 0.24070304 0.19707854]
93,1440398,001444.32-010328.2,2.6605995572854844,45.32826027570885,0.0468766520933563,1.3539155741404465,2.2812065370314585,[-3.57727702 -4.16655821 -3.78915958],[1.8705536  2.07205037 2.06725484],[ -8.20775818 -11.86320825 -11.9210462 ],[0.23371773 0.20245839]
94,1440400,001444.15+011459.3,1.835076544828729,45.81824757060702,0.0125230129736095,1.8090587100142224,0.3853045429198078,[-0.51482267 -0.40782181 -0.47167244],[0.19290109 0.2660516  0.32544179],[-14.54500901 -16.86892003  -5.9847322 ],[0.26233998 0.23361388 0.18159988]
95,1440401,001444.03-000018.5,1.5545024059813204,46.98461429066936,0.0008925268169086,3.0419358487404216,0.5321187657216957,[-1.02202745 -1.09203418 -1.03562199],[0.24873449 0.25020935 0.25142437],[-3.625737   -4.08981361 -3.39639455],[0.03615067 0.02941135 0.03283377]
96,1440405,001443.68-011206.4,2.712340773976164,46.9210381097517,0.001521806362561,3.0027398195865684,0.5895610141966685,[-0.64930012 -0.65654484 -0.81269256],[0.29207659 0.29238128 0.29442917],[ -6.668413   -13.3411958  -14.82512501],[0.06863337 0.05571155 0.05656401]
97,1440409,001442.95-003327.4,1.0680086179513135,45.13598999020535,0.0256096698742354,0.341585703108,1.419109052944379,[-0.94797718 -0.6832846  -0.39483496],[0.44641683 0.64616716 0.62752137],[-11.73275793 -14.60892555 -17.22722285],[0.28873677 0.21767163 0.17952107]
98,1440412,001442.01+011030.6,1.6905672175967177,45.4775405686555,0.0270787680402335,2.849885621997536,0.6014714525934195,[-0.58486786 -0.54625006 -0.59947127],[0.22961025 0.28959892 0.31430821],[ -9.91247301 -15.46976224 -10.25530988],[0.25222073 0.2349752  0.20132378]
99,1440415,001441.67-003439.8,0.4780351212030769,45.01640136924067,0.0021684333959441,1.6435326768972354,0.6712856875048999,[-0.6113849  -1.01306661 -0.92880089],[0.1015712  0.1632126  0.15073037],[-17.24842828 -13.48403665 -15.99895569],[0.20481287 0.15891856 0.12006068]
1,1440418,001441.22-002509.9,0.8385689042925413,45.15264824899956,0.0073203202048865,2.0303754190409298,0.3976969445481403,[-0.69548555 -0.9490256  -0.96127411],[0.14013683 0.19462476 0.20786637],[-15.89030251  -2.19031287  -7.27591377],[0.18110124 0.15186152 0.13049332]
2,1440422,001440.29-004015.4,2.534479149074538,45.55487259924367,0.04523908835991,1.3229071537640964,0.82338486656231,[  -0.36682707   -0.43477148 -160.32694969],[0.19054819 0.3179818  0.91814987],[-11.2043595  -10.16972295  -7.56665332],[0.27625038 0.2022865  0.19681038]
3,1440429,001438.93+011429.2,1.701550967751334,45.40044791404844,0.0301490581370273,2.1946005156221915,0.4725363559599795,[-0.22976511 -1.21507256 -0.36062359],[0.15669459 0.5883744  0.22526836],[ -6.45545166 -13.99986382 -10.92543059],[0.25746636 0.23125395 0.19159665]
