oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
571109400017782,zg,58202.27107,13.879457,0.016435323,-0.017200772,13.847001,0.021
1617102200002807,zg,58202.27166,13.875426,0.012986458,-0.01716865,13.782001,0.022
572112300010962,zg,58202.27342,13.855189,0.012613371,-0.02808909,13.880001,0.021
572112300010962,zg,58202.2777,13.8695135,0.01259202,-0.031602904,13.880001,0.021
571109400017782,zg,58202.27864,13.879774,0.016434329,-0.038512927,13.847001,0.021
571109400017782,zg,58207.26567,13.823281,0.016612824,-0.04546666,13.847001,0.021
572112300010962,zg,58207.2666,13.843213,0.012631312,-0.04549568,13.880001,0.021
571109400017782,zg,58210.26943,13.838005,0.016566092,-0.043694444,13.847001,0.021
572112300010962,zg,58210.27035,13.790011,0.012711926,-0.024948059,13.880001,0.021
571109400017782,zg,58210.27838,13.812232,0.016647989,-0.0348991,13.847001,0.021
572112300010962,zg,58210.27935,13.802096,0.012693485,-0.019009495,13.880001,0.021
571209400009249,zr,58217.20462,13.199688,0.018179134,0.10906491,13.111,0.025
572212300009936,zr,58217.20657,13.152645,0.013609946,0.112221524,13.0859995,0.035
571209400009249,zr,58217.22292,13.184016,0.018217985,0.10757877,13.111,0.025
572212300009936,zr,58217.26132,13.205783,0.013555015,0.10964526,13.0859995,0.035
571209400009249,zr,58221.20897,13.18736,0.018209685,0.12161013,13.111,0.025
572212300009936,zr,58221.22975,13.167311,0.013594691,0.12912345,13.0859995,0.035
571209400009249,zr,58224.18287,13.1862,0.018212564,0.11249211,13.111,0.025
572212300009936,zr,58224.18477,13.210776,0.0135499025,0.11887548,13.0859995,0.035
571209400009249,zr,58224.19479,13.153249,0.018294552,0.11857989,13.111,0.025
572212300009936,zr,58224.19571,13.157974,0.013604395,0.12783468,13.0859995,0.035
572212300009936,zr,58227.249,13.13325,0.01363023,0.11918223,13.0859995,0.035
571209400009249,zr,58227.24997,13.162095,0.0182725,0.114654064,13.111,0.025
572212300009936,zr,58231.17182,13.216622,0.013543927,0.11792146,13.0859995,0.035
571209400009249,zr,58231.1728,13.212806,0.018146684,0.108306974,13.111,0.025
571109400017782,zg,58234.22927,13.924973,0.016293127,-0.045296054,13.847001,0.021
572112300010962,zg,58235.1729,13.915861,0.012523716,-0.041498397,13.880001,0.021
572112300010962,zg,58235.23231,13.890826,0.01256046,-0.031296108,13.880001,0.021
571109400017782,zg,58237.20866,13.919636,0.016309723,-0.034065697,13.847001,0.021
572112300010962,zg,58238.15092,13.959967,0.012459868,-0.05366817,13.880001,0.021
572212300009936,zr,58245.15428,13.291403,0.013468583,0.11111771,13.0859995,0.035
571209400009249,zr,58245.15522,13.297663,0.01793854,0.11200605,13.111,0.025
572212300009936,zr,58248.16275,13.271616,0.013488322,0.113847755,13.0859995,0.035
571209400009249,zr,58248.16366,13.268075,0.018010763,0.111384876,13.111,0.025
572112300010962,zg,58248.17371,14.093942,0.0122732995,-0.06665589,13.880001,0.021
571109400017782,zg,58248.17417,14.098407,0.01576577,-0.07803404,13.847001,0.021
572212300009936,zr,58254.18853,13.343253,0.013417563,0.10619193,13.0859995,0.035
571309400016951,zi,58257.18399,13.195877,0.017213443,0.18712077,12.934999,0.028
572312300000111,zi,58257.18445,13.192185,0.011295636,0.1807782,12.934,0.026
