oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
755104300001578,zg,58202.3006,14.109428,0.0156288,-0.037034873,14.152,0.042
755104300001578,zg,58202.33164,14.092565,0.015637467,-0.03442402,14.152,0.042
754101400005929,zg,58202.33495,14.150571,0.012988075,-0.04702629,14.188001,0.035
754101400005929,zg,58205.29093,14.214848,0.0129110105,-0.04100549,14.188001,0.035
755104300001578,zg,58205.2983,14.180573,0.015594088,-0.04279939,14.152,0.042
754101400005929,zg,58205.31514,14.2079115,0.012919151,-0.048142172,14.188001,0.035
755104300001578,zg,58205.335,14.252762,0.015562075,-0.048572257,14.152,0.042
754101400005929,zg,58206.28444,14.219174,0.012905955,-0.06386844,14.188001,0.035
755104300001578,zg,58206.33668,14.221403,0.01557557,-0.06907505,14.152,0.042
755104300001578,zg,58208.30637,14.15113,0.015608085,-0.011492566,14.152,0.042
754201400009034,zr,58216.23732,13.477542,0.014064432,0.109904215,13.648999,0.039
755204300010795,zr,58216.2513,13.474999,0.014996901,0.113084204,13.648,0.048
754101400005929,zg,58216.25973,14.064868,0.013096234,-0.02300699,14.188001,0.035
755104300001578,zg,58216.27407,14.032388,0.015669696,-0.017010618,14.152,0.042
754201400009034,zr,58217.23638,13.495527,0.014037796,0.10518619,13.648999,0.039
755204300010795,zr,58217.29456,13.352806,0.0151709225,0.113696985,13.648,0.048
755204300010795,zr,58217.29691,13.434777,0.015053549,0.11745421,13.648,0.048
754201400009034,zr,58218.25187,13.43746,0.014124321,0.11150287,13.648999,0.039
754201400009034,zr,58218.25278,13.487801,0.01404922,0.11043942,13.648999,0.039
755204300010795,zr,58218.25513,13.470836,0.015002735,0.10806187,13.648,0.048
754201400009034,zr,58218.27293,13.448495,0.01410776,0.112048395,13.648999,0.039
755204300010795,zr,58218.29244,13.427658,0.015063641,0.118329905,13.648,0.048
755204300010795,zr,58218.298,13.408221,0.015091296,0.12136214,13.648,0.048
754201400009034,zr,58218.29891,13.455285,0.014097597,0.11395181,13.648999,0.039
754201400009034,zr,58218.30034,13.421657,0.01414813,0.11855985,13.648999,0.039
755204300010795,zr,58219.22404,13.444188,0.0150402365,0.11460712,13.648,0.048
754201400009034,zr,58219.23131,13.476627,0.014065791,0.11050759,13.648999,0.039
754201400009034,zr,58219.23459,13.5333,0.013982346,0.118997596,13.648999,0.039
755204300010795,zr,58219.23552,13.445199,0.015038809,0.120461,13.648,0.048
754201400009034,zr,58219.25711,13.51189,0.014013693,0.11289984,13.648999,0.039
755204300010795,zr,58219.2728,13.423374,0.015069724,0.12068609,13.648,0.048
755204300010795,zr,58222.2737,13.476508,0.014994787,0.12760201,13.648,0.048
755204300010795,zr,58222.277,13.483401,0.014985148,0.124770544,13.648,0.048
